ticket_id,department,category,priority,status,open_date,resolution_days,agent_id,satisfaction_score,resolution_date,sla_target_days,sla_met
TKT_00001,Facilities,Access,High,Resolved,2024-10-23,1.0,AGT_008,,2024-10-24,3,1
TKT_00002,Finance,Access,Low,Resolved,2025-08-24,8.0,AGT_036,,2025-09-01,14,1
TKT_00003,Facilities,Hardware,Medium,Escalated,2025-07-31,24.0,AGT_027,5.0,2025-08-24,7,0
TKT_00004,Finance,Maintenance,Medium,Resolved,2026-01-05,,AGT_024,,,7,0
TKT_00005,IT,Software,Critical,Resolved,2025-12-12,18.0,AGT_004,5.0,2025-12-30,1,0
TKT_00006,Operations,Software,High,Escalated,2025-04-08,,AGT_026,4.0,,3,0
TKT_00007,IT,Software,Medium,Resolved,2026-05-18,1.0,AGT_030,4.0,2026-05-19,7,1
TKT_00008,Finance,Onboarding,High,Resolved,2026-01-25,,AGT_039,4.0,,3,0
TKT_00009,Operations,Onboarding,Low,Resolved,2025-06-27,20.0,AGT_047,,2025-07-17,14,0
TKT_00010,IT,Access,Medium,Resolved,2025-09-18,,AGT_050,2.0,,7,0
TKT_00011,Finance,Hardware,Medium,Escalated,2025-12-19,,AGT_038,3.0,,7,0
TKT_00012,Finance,Payroll,Low,Resolved,2024-06-17,18.0,AGT_027,4.0,2024-07-05,14,0
TKT_00013,IT,Access,Medium,Open,2026-01-28,15.0,AGT_018,4.0,2026-02-12,7,0
TKT_00014,HR,Onboarding,Critical,Escalated,2026-01-09,26.0,AGT_022,4.0,2026-02-04,1,0
TKT_00015,IT,Payroll,High,Resolved,2025-06-29,25.0,AGT_005,,2025-07-24,3,0
TKT_00016,IT,Access,Medium,Escalated,2024-11-22,23.0,AGT_007,4.0,2024-12-15,7,0
TKT_00017,Facilities,Payroll,Medium,Resolved,2026-03-21,9.0,AGT_024,,2026-03-30,7,0
TKT_00018,IT,Access,Critical,Escalated,2024-06-24,,AGT_038,1.0,,1,0
TKT_00019,IT,Software,Medium,Resolved,2025-09-20,11.0,AGT_042,,2025-10-01,7,0
TKT_00020,Operations,Onboarding,High,Open,2024-06-08,,AGT_001,5.0,,3,0
TKT_00021,IT,Onboarding,High,Resolved,2025-12-16,12.0,AGT_021,3.0,2025-12-28,3,0
TKT_00022,Operations,Payroll,Low,Open,2024-12-11,20.0,AGT_040,2.0,2024-12-31,14,0
TKT_00023,Finance,Onboarding,High,Open,2024-06-05,2.0,AGT_009,4.0,2024-06-07,3,1
TKT_00024,Operations,Hardware,Critical,Escalated,2026-03-28,18.0,AGT_022,,2026-04-15,1,0
TKT_00025,Facilities,Hardware,Medium,Resolved,2025-02-14,,AGT_027,3.0,,7,0
TKT_00026,IT,Maintenance,High,Open,2025-05-22,3.0,AGT_033,2.0,2025-05-25,3,1
